,Unnamed: 0,exclude_plaintext_nonbase32,exclude_plaintext_base32,exclude_encrypted_v1,exclude_encrypted_v2,exclude_encrypted_base32,exclude_encrypted_nonbase32,exclude_webp,exclude_nonwebp,baseline-f1_score,baseline-accuracy_score,baseline-precision_score,baseline-recall_score,advanced-only-f1_score,advanced-only-accuracy_score,advanced-only-precision_score,advanced-only-recall_score,fourier-only-f1_score,fourier-only-accuracy_score,fourier-only-precision_score,fourier-only-recall_score,baseline-and-fourier-f1_score,baseline-and-fourier-accuracy_score,baseline-and-fourier-precision_score,baseline-and-fourier-recall_score,advanced-and-fourier-f1_score,advanced-and-fourier-accuracy_score,advanced-and-fourier-precision_score,advanced-and-fourier-recall_score,advanced-f1_score,advanced-accuracy_score,advanced-precision_score,advanced-recall_score,fourier-f1_score,fourier-accuracy_score,fourier-precision_score,fourier-recall_score,n_encrypted,n_non_encrypted,ratio_encrypt_nonencrypt,best_f1_score,improvement_in_advanced,improvement_in_fourier,room_for_improvement,fourier_minus_advanced,percentage_of_room_filled
0,37,False,False,True,True,True,False,False,True,0.7105451612503637,0.9016727272727272,0.8638743691893115,0.6034782608695652,0.8674078347847466,0.9503747035573122,0.9315463684741008,0.8115731225296443,0.4087999244728714,0.8415304347826087,0.8048939925243767,0.2741818181818182,0.6950623057193234,0.8988521739130435,0.8752365430384227,0.5765375494071147,0.8909331930970961,0.9587225296442689,0.9447691420714242,0.8429407114624506,0.8738164710662669,0.95258814229249,0.9341905474475614,0.820806324110672,0.8905937484305368,0.9585581027667984,0.9434261327941638,0.8434150197628458,31625,126500,0.25,0.8909331930970961,0.1632713098159032,0.1800485871801731,0.2894548387496363,0.0167772773642699,62.202652392315336
1,55,False,False,False,True,True,False,False,True,0.7105451612503637,0.9016727272727272,0.8638743691893115,0.6034782608695652,0.8674078347847466,0.9503747035573122,0.9315463684741008,0.8115731225296443,0.4087999244728714,0.8415304347826087,0.8048939925243767,0.2741818181818182,0.6950623057193234,0.8988521739130435,0.8752365430384227,0.5765375494071147,0.8909331930970961,0.9587225296442689,0.9447691420714242,0.8429407114624506,0.8738164710662669,0.95258814229249,0.9341905474475614,0.820806324110672,0.8905937484305368,0.9585581027667984,0.9434261327941638,0.8434150197628458,31625,126500,0.25,0.8909331930970961,0.1632713098159032,0.1800485871801731,0.2894548387496363,0.0167772773642699,62.202652392315336
2,46,False,False,True,False,True,False,False,True,0.7105451612503637,0.9016727272727272,0.8638743691893115,0.6034782608695652,0.8674078347847466,0.9503747035573122,0.9315463684741008,0.8115731225296443,0.4087999244728714,0.8415304347826087,0.8048939925243767,0.2741818181818182,0.6950623057193234,0.8988521739130435,0.8752365430384227,0.5765375494071147,0.8909331930970961,0.9587225296442689,0.9447691420714242,0.8429407114624506,0.8738164710662669,0.95258814229249,0.9341905474475614,0.820806324110672,0.8905937484305368,0.9585581027667984,0.9434261327941638,0.8434150197628458,31625,126500,0.25,0.8909331930970961,0.1632713098159032,0.1800485871801731,0.2894548387496363,0.0167772773642699,62.202652392315336
3,64,False,False,False,False,True,False,False,True,0.7105451612503637,0.9016727272727272,0.8638743691893115,0.6034782608695652,0.8674078347847466,0.9503747035573122,0.9315463684741008,0.8115731225296443,0.4087999244728714,0.8415304347826087,0.8048939925243767,0.2741818181818182,0.6950623057193234,0.8988521739130435,0.8752365430384227,0.5765375494071147,0.8909331930970961,0.9587225296442689,0.9447691420714242,0.8429407114624506,0.8738164710662669,0.95258814229249,0.9341905474475614,0.820806324110672,0.8905937484305368,0.9585581027667984,0.9434261327941638,0.8434150197628458,31625,126500,0.25,0.8909331930970961,0.1632713098159032,0.1800485871801731,0.2894548387496363,0.0167772773642699,62.202652392315336
4,1,False,True,True,True,True,False,False,True,0.7123327155132233,0.8367641633728591,0.8632901260794981,0.6063241106719368,0.8653163064632758,0.9160579710144928,0.93013680841233,0.8089486166007905,0.4298178298285854,0.7402055335968379,0.8006574291055809,0.2938498023715415,0.6889522010863969,0.8295125164690381,0.8790709704483977,0.5664822134387351,0.8894579387342972,0.930266139657444,0.9431023968454308,0.841612648221344,0.8750218687321126,0.9216548089591567,0.934385215301108,0.8227667984189724,0.890696315561233,0.9309617918313572,0.9430963809266636,0.8438260869565217,31625,63250,0.5,0.890696315561233,0.1626891532188893,0.1783636000480096,0.2876672844867767,0.0156744468291203,62.0034357977918
5,28,False,True,False,False,True,False,False,True,0.7123327155132233,0.8367641633728591,0.8632901260794981,0.6063241106719368,0.8653163064632758,0.9160579710144928,0.93013680841233,0.8089486166007905,0.4298178298285854,0.7402055335968379,0.8006574291055809,0.2938498023715415,0.6889522010863969,0.8295125164690381,0.8790709704483977,0.5664822134387351,0.8894579387342972,0.930266139657444,0.9431023968454308,0.841612648221344,0.8750218687321126,0.9216548089591567,0.934385215301108,0.8227667984189724,0.890696315561233,0.9309617918313572,0.9430963809266636,0.8438260869565217,31625,63250,0.5,0.890696315561233,0.1626891532188893,0.1783636000480096,0.2876672844867767,0.0156744468291203,62.0034357977918
6,10,False,True,True,False,True,False,False,True,0.7123327155132233,0.8367641633728591,0.8632901260794981,0.6063241106719368,0.8653163064632758,0.9160579710144928,0.93013680841233,0.8089486166007905,0.4298178298285854,0.7402055335968379,0.8006574291055809,0.2938498023715415,0.6889522010863969,0.8295125164690381,0.8790709704483977,0.5664822134387351,0.8894579387342972,0.930266139657444,0.9431023968454308,0.841612648221344,0.8750218687321126,0.9216548089591567,0.934385215301108,0.8227667984189724,0.890696315561233,0.9309617918313572,0.9430963809266636,0.8438260869565217,31625,63250,0.5,0.890696315561233,0.1626891532188893,0.1783636000480096,0.2876672844867767,0.0156744468291203,62.0034357977918
7,19,False,True,False,True,True,False,False,True,0.7123327155132233,0.8367641633728591,0.8632901260794981,0.6063241106719368,0.8653163064632758,0.9160579710144928,0.93013680841233,0.8089486166007905,0.4298178298285854,0.7402055335968379,0.8006574291055809,0.2938498023715415,0.6889522010863969,0.8295125164690381,0.8790709704483977,0.5664822134387351,0.8894579387342972,0.930266139657444,0.9431023968454308,0.841612648221344,0.8750218687321126,0.9216548089591567,0.934385215301108,0.8227667984189724,0.890696315561233,0.9309617918313572,0.9430963809266636,0.8438260869565217,31625,63250,0.5,0.890696315561233,0.1626891532188893,0.1783636000480096,0.2876672844867767,0.0156744468291203,62.0034357977918
8,52,False,False,True,False,False,False,False,True,0.6742678692996042,0.8188194993412384,0.84129534746229,0.562592885375494,0.8134023626507323,0.8869934123847167,0.9045861980681628,0.7389249011857707,0.2402845845033558,0.7016126482213438,0.7939021533398534,0.1415810276679842,0.6632673893620826,0.8173438735177865,0.8602925509293697,0.5396837944664032,0.8351934472439929,0.8989986824769434,0.9155905548066876,0.7677786561264822,0.8288677517998554,0.8952938076416338,0.9104294284062512,0.7607272727272727,0.8409993321903471,0.9020711462450592,0.9165241598382748,0.7769802371541502,63250,126500,0.5,0.8409993321903471,0.1545998825002511,0.1667314628907428,0.3257321307003957,0.0121315803904916,51.18667984402813
9,43,False,False,True,True,False,False,False,True,0.6742678692996042,0.8188194993412384,0.84129534746229,0.562592885375494,0.8134023626507323,0.8869934123847167,0.9045861980681628,0.7389249011857707,0.2402845845033558,0.7016126482213438,0.7939021533398534,0.1415810276679842,0.6632673893620826,0.8173438735177865,0.8602925509293697,0.5396837944664032,0.8351934472439929,0.8989986824769434,0.9155905548066876,0.7677786561264822,0.8288677517998554,0.8952938076416338,0.9104294284062512,0.7607272727272727,0.8409993321903471,0.9020711462450592,0.9165241598382748,0.7769802371541502,63250,126500,0.5,0.8409993321903471,0.1545998825002511,0.1667314628907428,0.3257321307003957,0.0121315803904916,51.18667984402813
